"","cortex astrocytes","Endothelial cells 1","Endothelial cells 3","ME astrocytes","Microglia","Mural cells","Neurons 1","Neurons 2","Neurons 3","Neurons 4","Neurons 5","Neurons 6","Neurons 12","Neurons 13","Oligodendrocytes 1","Oligodendrocytes 2","Oligodendrocytes 3","OPCs","PVMs 1","PVMs 2","Tanycytes 1","T cells"
"Bcam",0.0975738863117073,2.54310218944136,1.51400882335816,0,0.0133731197992757,5.28931153440508,0.0107906448099215,0.0260076599856506,0.0188995287496836,0,0.291528190776048,0.0192248032842026,0.0524507324097043,0.0290699361759992,0.0063037367015122,0.0115603147342163,0.00421519408861181,0.162961335671448,0,0,0,0
"Itga6.2",3.55009235165493,11.2257671441083,11.0912428721751,1.16198001394376,4.46104224694194,0.155113404931498,0.122387964998903,0.0694900152892547,0.380623337485687,0.845809016324114,0,0.162806753659847,0.155241144734452,0.170715531519682,0.130365708800095,0.155882863329637,0.123121881199213,0.220182473960136,1.11471467614108,1.17473898758859,0,1.33147345466569
"Itgb1.23",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Rpsa.2",1.34005810334669,4.16982664169189,3.66829194747848,4.00272330927882,5.95928310822785,3.28921105374127,1.38787340600303,1.30685325043232,1.60278867934054,5.93974977102097,1.17226213220022,1.18717463037518,1.64620404080241,1.5241460093352,3.90866318173493,3.53867122837209,4.63082839287803,1.99635297439879,19.7183614200119,4.8703138314142,0,25.5348446474273
"Itga3.3",0.0326803857766717,0.363561569402379,0.518558908369973,0,0,0.137654440729567,0.129079387436418,0.11740055970746,0.0853469771788214,0.657851457140978,0,0.180300693015399,0.263687482923952,0.0905186157927582,0.0118340736049816,0.083820424984029,0.0103426543103072,0.203538108600731,0,0.0932034792940818,0,0
"Itga6.3",3.55009235165493,11.2257671441083,11.0912428721751,1.16198001394376,4.46104224694194,0.155113404931498,0.122387964998903,0.0694900152892547,0.380623337485687,0.845809016324114,0,0.162806753659847,0.155241144734452,0.170715531519682,0.130365708800095,0.155882863329637,0.123121881199213,0.220182473960136,1.11471467614108,1.17473898758859,0,1.33147345466569
"Itgb1.24",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Itgb4",0.00676789711009194,0.0242225453161823,0,0,0.0102152496359489,0.0365698097439325,0.0210243961120781,0.0113855252660465,0.0663555480627219,0,0,0.0126477303859234,0.0146324148832859,0.0376238058831905,1.86194398720564,0.186836037002162,1.69801543575864,0.0210895700102542,0,0.0786683029673684,0,0.132030631106417
"Lrp2.6",0.0177611135997876,0.0189117201330833,0.0466853408029879,0,0.0125388272214806,0.0240624986587837,0.0194331456666095,0.0210737675227092,0.00065288236137104,0,0,0.0148368484554953,0.0189052968409017,0,0.0217501682890129,0.0120748520719916,0.0101524491768394,0.0127487989200837,0,0,0,0
"Acvr2b.9",0.0391769920415071,0.0858791608106665,0,0,0.100261877445832,0.211086226282769,0.0665618945742295,0.0791262519376333,0.0669443974354167,0,0.742059958444642,0.0555193758100486,0.0798359565605184,0.0619541563252845,0.0389837469868892,0.149735057036536,0.119768728767192,0.0947284171870467,0,0.226441523170495,0,0
"Lepr.1",0.0632205763697182,0.14088520917919,0.29167981256241,0,0.0403092649303453,0.0580099675013706,0.0527632632373913,0.0561216888776586,0.0929273695384955,0,0,0.0658492086751269,0.0617921198236719,0.0723324388123247,0.0430534666948111,0.0401116849330785,0.0178541803199834,0.0446507128753413,0,0,0,0
"Itgb1.25",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Lhcgr.3",0.007351609782725,0,0,0,0,0.0515108712194922,0.00216504302554599,0.00267502529782646,0.00497627560604817,0,0,0.0011439720907417,0,0,0.00116783220213213,0.00419754309407618,0,0.0117382464937858,0,0,0,0
"Il6st.5",0.8379862146536,1.93532466898912,1.7008830289745,1.15413468751803,2.24311697129812,2.08707670258569,0.254043219872814,0.240615021930133,0.235373814912313,0,0,0.240547997672632,0.343626817777229,0.213283313893629,0.736177857066219,0.881115604640498,0.951825893013398,1.41483554341384,0.236169401515888,0.795346532146505,0,0.608442325628201
"Lifr.3",0.739869211526978,1.02449491822219,0.872860725183543,0,0.643597941892487,0.596008821128181,0.302244716987458,0.510089704504854,0.361049623321798,0.845809016324114,0.742059958444642,0.132237532126678,0.140462464187082,0.307960919378228,0.602502719064916,0.364819858979553,0.616242590175114,1.03170784382375,0.279006156989103,2.07426022502629,0,0.0176323306414642
"Abca1",2.88944789624829,0.79437471701884,0.788152101028076,4.215041891651,3.15436259773851,0.103578793972078,0.0609758616923394,0.0701946508968668,0.347509005305765,0,0,0.0579037195308753,0.0729732274819459,0.0600542964857091,0.301501840026775,0.560940774140484,0.366023869379318,2.66869961554145,3.51216045805814,7.34160821853802,0,0.174935042424149
"Htr2c",0.0175640215605829,0.0364450071303859,0,0,0,0,0.0711952610657869,0.0629117202941618,0.186722213816769,0,0.42571306939123,0.192578855574942,0.538900283401718,0.090984835551028,0.017026335303251,0.0246473229780489,0.0327252054662887,0.0920161888559091,0,0,0,0
"Lrp1.9",2.77268190234868,0.104056225760831,0,0,2.79595211233109,4.28379314838109,1.87972832822231,1.63304865682721,1.79006925072396,0,2.64097490978242,1.54537178914971,1.42693832443494,2.14816847265566,0.0535210160133356,1.09437831867416,0.0870272844090298,11.2156573654689,1.33836861770186,1.2008243262674,0,0.0576110170804265
"Lpar1",0.0591188110232624,0.0203010071808059,0,0,0.011551473286561,0.349544715718139,0.0371352968172528,0.046253995271933,0.139394692914207,0,0,0.0282843865070959,0.0994936227837529,0.0596637996228092,4.91070017408009,4.34979602882995,6.10217225069673,0.0127020091102291,0.0393007608627303,0.0386189850930718,0,0
"Lpar2",0.00753729602907498,0.00563975248670822,0,0,0.0538604923352792,0,0.0165840332834129,0.0112452863550222,0.0229554293120418,0,0,0.0117022673998765,0.0204433436206118,0.0135581580916183,0.003587809816597,0,0.00389368980842268,0.0248860860643914,0,0.135054832261898,0,0
"Lpar4",0.593087011787588,0.691002800157941,0.544108756859272,0,0.00371243617858154,0,0.00664815204389635,0.00423022478346831,0.026041690485286,0,0,0.0112702006067753,0,0.0228381936815853,0.0218602891603469,0.0986992448462454,0.0393463466309143,0.327754740138803,0,0,0,0
"Lrp1.10",2.77268190234868,0.104056225760831,0,0,2.79595211233109,4.28379314838109,1.87972832822231,1.63304865682721,1.79006925072396,0,2.64097490978242,1.54537178914971,1.42693832443494,2.14816847265566,0.0535210160133356,1.09437831867416,0.0870272844090298,11.2156573654689,1.33836861770186,1.2008243262674,0,0.0576110170804265
"Lrp2.7",0.0177611135997876,0.0189117201330833,0.0466853408029879,0,0.0125388272214806,0.0240624986587837,0.0194331456666095,0.0210737675227092,0.00065288236137104,0,0,0.0148368484554953,0.0189052968409017,0,0.0217501682890129,0.0120748520719916,0.0101524491768394,0.0127487989200837,0,0,0,0
"Sdc1.3",0.0111393498592834,0.0132175160274626,0.0702790076604118,0,0.013479258445869,0.0119758184274313,0.00964091748104065,0.00595799118310643,0.0162650690162227,0,0,0.00910414641124796,0.0139701146610262,0,0.00342838713466827,0.00820308879105338,0.00291084207168123,0.0846803002009694,0.155830208167455,0,0,0
"Vldlr.1",0.458271418292668,0.0400960412482559,0,0,0.0812444763740894,0.085862304425022,1.32611771089811,1.55613370548341,0.916511930913517,0,0.701834120860194,0.552841653585303,1.49897163334908,1.30535197293484,2.38259150224793,2.8968271156386,3.0574440012622,2.79179080544046,0.0452554215995076,0.0520460536607688,0,0.0742404074288688
"Plaur.1",0.00619181432711064,0.194993984365296,0.142373741566323,0,0.542968134430206,0.00382340458885019,0.0137558304399659,0.0253381590802936,0.0191854285991473,0,0,0.0363864106418682,0.00988529108228121,0,0.00781086823113177,0.0515121189002099,0,0,1.57760397012869,0.106026499212538,0,0
"Ldlr.3",1.33424197170329,0.499523110237012,0.820704590613019,0,0.0750483053651329,2.01694794685337,0.0973316621712208,0.0669590145256358,0.11565272659867,1.89866224858354,0,0.152294967651072,0.186800749500016,0.0856787023167063,1.02617704373975,0.992273850243737,0.673505642930262,0.258296667147588,0.472075043225746,0.780970708563861,0,0
"Lrp1.11",2.77268190234868,0.104056225760831,0,0,2.79595211233109,4.28379314838109,1.87972832822231,1.63304865682721,1.79006925072396,0,2.64097490978242,1.54537178914971,1.42693832443494,2.14816847265566,0.0535210160133356,1.09437831867416,0.0870272844090298,11.2156573654689,1.33836861770186,1.2008243262674,0,0.0576110170804265
"Lrp2.8",0.0177611135997876,0.0189117201330833,0.0466853408029879,0,0.0125388272214806,0.0240624986587837,0.0194331456666095,0.0210737675227092,0.00065288236137104,0,0,0.0148368484554953,0.0189052968409017,0,0.0217501682890129,0.0120748520719916,0.0101524491768394,0.0127487989200837,0,0,0,0
"Lrp8.1",0.793167631498499,2.37368061801486,3.11150041246495,1.85356811862836,0.0301858721760506,0.0424987486807432,0.516748066434627,0.54026703104158,0.842392064521444,0,0,0.593695526525481,0.75514400450979,0.777098255933545,0.0388043384045283,0.084517703628762,0.0530009354739497,0.633164084734926,0.051783370625478,1.27615546125263,0,0.165727543917799
"Sorl1.1",1.68750710830879,0.134387930215739,0.0263263200016849,0,0.364601199266177,0.0594802136626573,3.25832934159577,2.77267411453072,2.63246709439987,0.657851457140978,0.567649242245012,3.3823114737658,1.77143783585597,3.20899663033619,1.78212614189555,0.462720693037129,1.59376925693288,0.254048219056208,2.03957070486712,0.302792465732708,0,1.79248681570626
"Sort1.1",2.17141281036595,1.14213948152108,1.00082291427236,0,2.4200638453499,3.47175125903793,5.43565450952388,5.18042116522106,3.01643689354505,1.05285323225942,1.54350945756253,2.90740595500338,2.05755501134342,5.72269568522568,8.13326141045463,1.48419338542901,8.32892729700944,0.367244624426286,0.79676552693288,0.55871880726734,3.58595262181841,0.46216855660081
"Vldlr.2",0.458271418292668,0.0400960412482559,0,0,0.0812444763740894,0.085862304425022,1.32611771089811,1.55613370548341,0.916511930913517,0,0.701834120860194,0.552841653585303,1.49897163334908,1.30535197293484,2.38259150224793,2.8968271156386,3.0574440012622,2.79179080544046,0.0452554215995076,0.0520460536607688,0,0.0742404074288688
"Ltbr",0.279317647850229,0.441424841368438,0.536281838514886,0,0.49349388282069,0.381222067219601,0.0166113575607408,0.0143548387406157,0.0170089679386626,0,0,0.0072784662977363,0.0111043156523253,0.0310599451204248,0.0494732272399789,0.145896202753044,0.0368251805145563,0.490244954135436,0.280000520581664,1.20831835369194,0,0
"Tnfrsf14.1",0,0.00729472254501786,0,0,0.00398213748137909,0,0.00221062160919064,0.00379996757203132,0,0,0,0,0.00804285231714575,0,0,0,0,0,0,0,0,0.0622742558226429
"Tnfrsf1a",0.978917349154112,0.901581428959968,1.10154802891424,0,2.27408757194736,2.56167491602206,0.0147706854130129,0.00971954344752313,0.0580195586051114,0,0.42571306939123,0.0113294313357042,0.0328693297812617,0,0.0181840831410381,0.215663081237061,0.00210718668662594,1.21486658401225,1.08404899498037,2.23760938498421,0,1.16355313817591
"Tnfrsf1b",0.0103109085367249,0.309181263757532,0.0401245352783701,0,1.63027910466963,0,0.00759741069127208,0.00982470641465869,0.0109182233565221,0,0,0.00895850644937333,0.0322190287493728,0.0155106173840345,0.00840891816621847,0.021161782464455,0,0,1.46224686260224,1.26404691733859,0,2.10776218921834
"Itgb5.3",0.734858291153411,0.0419164119716216,0,1.16198001394376,5.95190895364654,2.46716158807022,0.0054662664249029,0.00795572939841752,0.0375807422193448,0,0,0.00449251020392698,0.00768574055790687,0.00529384267864204,0.0373289383096403,0.0137357200802827,0.0520685003429496,0.0144701131820926,1.09897326399415,1.16063511508869,0,0
"Itgb5.4",0.734858291153411,0.0419164119716216,0,1.16198001394376,5.95190895364654,2.46716158807022,0.0054662664249029,0.00795572939841752,0.0375807422193448,0,0,0.00449251020392698,0.00768574055790687,0.00529384267864204,0.0373289383096403,0.0137357200802827,0.0520685003429496,0.0144701131820926,1.09897326399415,1.16063511508869,0,0
"Cd40.1",0.0113082876759978,0.537015811044725,0.357816043717746,0,0.109905538028628,0.0226902032091951,0.0162586997477596,0.00624025525423815,0.0141981394142181,0,0,0.0196480997382734,0.00603375038616002,0,0.00277971819471779,0.00585230522664828,0,0.00329206618633226,0.779740571772754,0.0927887678769561,0,0
"Ltbr.1",0.279317647850229,0.441424841368438,0.536281838514886,0,0.49349388282069,0.381222067219601,0.0166113575607408,0.0143548387406157,0.0170089679386626,0,0,0.0072784662977363,0.0111043156523253,0.0310599451204248,0.0494732272399789,0.145896202753044,0.0368251805145563,0.490244954135436,0.280000520581664,1.20831835369194,0,0
"Tnfrsf1a.1",0.978917349154112,0.901581428959968,1.10154802891424,0,2.27408757194736,2.56167491602206,0.0147706854130129,0.00971954344752313,0.0580195586051114,0,0.42571306939123,0.0113294313357042,0.0328693297812617,0,0.0181840831410381,0.215663081237061,0.00210718668662594,1.21486658401225,1.08404899498037,2.23760938498421,0,1.16355313817591
"Lrp1.12",2.77268190234868,0.104056225760831,0,0,2.79595211233109,4.28379314838109,1.87972832822231,1.63304865682721,1.79006925072396,0,2.64097490978242,1.54537178914971,1.42693832443494,2.14816847265566,0.0535210160133356,1.09437831867416,0.0870272844090298,11.2156573654689,1.33836861770186,1.2008243262674,0,0.0576110170804265
"Lrp11",0.209944804214173,0.0373591938944124,0,2.040399918384,0.0849983528949468,0.0312462918001831,2.71903517213919,1.87493529396652,1.70697246341235,6.5608824188269,3.55556922654342,2.54300145585131,1.83158645974735,2.60253022284244,0.0654432735580277,0.0841399878458938,0.0135865362538196,1.04212605392804,0.230637312353964,0,0,0.0991867233396066
"Cd180",0.00569434417933676,0.0179532070643552,0,0,0.995989782048906,0.00595342989002824,0.0127648366996793,0.0159228377760775,0.00562388723165279,0,0,0.0150130901930055,0,0,0.00407944362916008,0.00808903370669986,0.00553156699336101,0.00360521718188825,0.830204841701516,0.357217779710604,0,0
"Itga1.3",0.0118485221242381,0.728551618581448,0.0759028716829963,0,0.00127101786924022,2.49715905755756,0.00381560950252943,0.0107020213181929,0.0189483461204905,0,0,0.0112468364699107,0.0179240338632917,0,0.00094810598763063,0,0,0.0134700997014449,0.0297916964583631,0,0,0.118849536486808
"Itgb1.26",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Calcr.4",0.00265958845037416,0.0042123708908322,0,0,0.00318498622971204,0,0.00883043515487579,0.00393519108373167,0.000830041182493269,3.81641115391925,0,0.00813152082463733,0.0090732374843399,0.00631800942267925,0.00169709169298695,0,0.0069867726420341,0.0129966238599929,0,0,0,0
"Cd93.10",0.0375263737120894,6.69221934155899,4.48028169785195,0,0.00627687286194018,0.39222064671618,0.0196029374567662,0.0158935650830321,0.0491809249129419,0,0,0.0127382559423733,0.0523150000895754,0.0226272677781066,0.0167289223648879,0.0221408304439741,0.00795849622545509,0.00203841017052524,1.38361113519783,1.5648742888734,0,0.0453226976069616
"Alk",0.0126304300131169,0,0,0,0,0,0.00486613058858564,0.00279521118549214,0.00173978186962875,0,0,0.00229098763885634,0.0324965708012049,0,0.00145746080013432,0.00242310459306745,0,0.0117231690599117,0,0,0,0
