"","Ligand_ApprovedSymbol","B2.tanycytes 1","Plvap.ECs","ME.astrocytes 1","ME.astrocytes 2","Gfap.high astrocytes","fibroblasts.1","ME.pericytes"
"1834","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1835","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1836","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1837","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1838","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1839","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1840","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1841","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1842","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1843","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1844","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1845","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1846","Tnfsf10",0.0240271882130867,3.52290779520803,0.026772826675242,0.00906256143625021,0.0278206305769486,0.100517493279359,0
"1847","0",0,0,0,0,0,0,0
"1848","0",0,0,0,0,0,0,0
"1849","0",0,0,0,0,0,0,0
"1850","0",0,0,0,0,0,0,0
"1851","0",0,0,0,0,0,0,0
"1852","0",0,0,0,0,0,0,0
"1853","0",0,0,0,0,0,0,0
"1854","0",0,0,0,0,0,0,0
"1855","0",0,0,0,0,0,0,0
"1856","Cd200",0.230624117942452,5.43875741240872,0.0299118001916775,0.0325866478053146,0.0835353262823929,0.449886148819223,0
"1857","Cd200",0.230624117942452,5.43875741240872,0.0299118001916775,0.0325866478053146,0.0835353262823929,0.449886148819223,0
"1858","Cd200",0.230624117942452,5.43875741240872,0.0299118001916775,0.0325866478053146,0.0835353262823929,0.449886148819223,0
"1859","Cd200",0.230624117942452,5.43875741240872,0.0299118001916775,0.0325866478053146,0.0835353262823929,0.449886148819223,0
"1860","Cd200",0.230624117942452,5.43875741240872,0.0299118001916775,0.0325866478053146,0.0835353262823929,0.449886148819223,0
"1861","0",0,0,0,0,0,0,0
"1862","0",0,0,0,0,0,0,0
"1863","0",0,0,0,0,0,0,0
"1864","0",0,0,0,0,0,0,0
"1865","0",0,0,0,0,0,0,0
"1866","0",0,0,0,0,0,0,0
"1867","Mme",1.48110702231548,1.97285995672668,1.7131179961361,1.43569022490048,1.3855740227433,1.34031958997767,0
"1868","Tm4sf1",0.0332439292365193,12.0160764834762,0.0221681896836382,0.00398841697243364,0.0580062444902262,0.167812973738844,4.94117647058824
"1869","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1870","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1871","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1872","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1873","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1874","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1875","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1876","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1877","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1878","Tnfrsf1a",1.06715156286524,2.93847409699075,1.34388277516536,1.34259485567927,0.953092090660561,1.5408852778103,3.82352941176471
"1879","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1880","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1881","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1882","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1883","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1884","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1885","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1886","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1887","Lifr",0.174701929540934,2.45828817074521,1.24045340898286,0.831088978009454,0.830391807262631,0.497763056114128,3.35294117647059
"1888","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1889","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1890","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1891","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1892","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1893","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1894","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1895","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1896","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1897","Flt4",0.00469571692308124,2.74492535679319,0.00465073046288582,0,0,0,0
"1898","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1899","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1900","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1901","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1902","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1903","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1904","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1905","Rdx",1.34295905571391,5.99670638301309,2.08965775420206,2.02099007930856,2.08697619404722,1.44888796056454,0
"1906","Unc13d",0.355813780222799,0.899592201783035,0.464530181986841,0.633595167685448,0.414553620039362,0.363762268471708,0
"1907","Unc13d",0.355813780222799,0.899592201783035,0.464530181986841,0.633595167685448,0.414553620039362,0.363762268471708,0
"1908","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1909","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1910","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1911","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1912","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1913","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1914","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1915","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1916","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1917","Rhoj",0.348519591109219,2.89565383970734,0.22020094853093,0.183460181387024,0.106911595911721,2.68047713891243,0
"1918","Cald1",0.628639915060239,3.41172274055489,0.0717537827564661,0.0327312407763661,0.362116080985371,3.83544010960354,3.82352941176471
"1919","Cald1",0.628639915060239,3.41172274055489,0.0717537827564661,0.0327312407763661,0.362116080985371,3.83544010960354,3.82352941176471
"1920","Cald1",0.628639915060239,3.41172274055489,0.0717537827564661,0.0327312407763661,0.362116080985371,3.83544010960354,3.82352941176471
"1921","Cald1",0.628639915060239,3.41172274055489,0.0717537827564661,0.0327312407763661,0.362116080985371,3.83544010960354,3.82352941176471
"1922","Gnao1",0.790278002438302,0.180263541355349,2.72283950244645,1.85542300435345,4.64729633868128,0.383427787411709,0
"1923","Ocrl",0.462144904565935,0.37600090749922,0.929396332903047,0.548801868116202,0.583132456789608,0.217617017511933,0
"1924","Fbp1",0.00213644492375742,0,0,0,0,0,0
"1925","Fbxo2",5.27664076286928,0.0234057433727463,0.517635869753048,0.689610841975243,2.41103341153392,0.00698764589040282,0
"1926","Cacna1b",0.0148525557863659,0,0.0301379515903888,0.0100087196242176,0.0180601746057652,0.0133465281124809,0
"1927","Cmas",0.482997050352251,0.29746701799259,0.231447683783416,0.227951174602294,0.322875697507102,0.395858427150144,0
"1928","Lmo1",1.08241285609856,0.246946943594543,0.0495656683076402,0.0203597012951091,0.141978050791767,0.00755140966408522,0
"1929","Ldb1",0.774004196719581,0.554387325794894,0.491830664020978,0.474155988691667,0.42178919121665,0.768580011785641,0
"1930","Plod2",1.46681865142837,0.450954256520154,1.04747296575924,0.769991483100604,0.704653481846745,0.43872807487143,0
"1931","Msx1",0.109673580072471,0.24084629062138,0.157191347311187,0.152092066979091,0.288758773171031,0.0688725947342535,0
"1932","Pax6",0.0503466386793597,0.066232760147789,0.338435727493754,0.198042081352544,0.177499580436458,0.0339444870674528,0
"1933","Psmd3",0.945318976822007,1.12886085900544,0.519474898805273,0.498618526960997,0.568863890323058,0.653160993945887,0
"1934","Slc4a1ap",0.10509720362897,0.0786801666736684,0.166218060427802,0.108539812699194,0.1237037393399,0.104577179715848,0
"1935","Dcx",0.0210170763158319,0,0.0271277047415347,0.0239285830747668,0.0303615812184383,0,0
"1936","Tuba1a",6.25744436669299,6.18129608860772,6.0086681628851,7.11682168816349,12.0435459202727,11.129523073697,8.88235294117647
"1937","Tuba4a",0.156287084332683,0,0.773116979165512,0.752402695832708,0.858369624199953,0.0707183706171252,0
"1938","Egfr",0.101991487974932,0.201844952391888,1.440591261088,1.2017382800557,0.661957936135657,0.408744196658216,0
"1939","Igf1",0.139643447733699,0.165818501864307,0.0120192218847261,0.00913941600758755,0.0178034639861466,1.43474083211241,0
"1940","Igf2",0.00960695690114595,0.34036725651875,0.0434035051184431,0.00788195452959076,0.00083093992681355,1.25024688756338,4.17647058823529
"1941","0",0,0,0,0,0,0,0
"1942","Ilvbl",0.404504211203599,0.143630490377547,0.420279302357874,0.493511598140937,0.396808081639923,0.22980233814752,0
"1943","Fxyd2",0.00593954348472369,0.0934404656404575,0.00568567821761205,0.00267727901060973,0,0.0180345669133928,0
"1944","Atp1a3",0.0476983719818795,0.0900271753416045,0.0502666178823387,0.101375365698626,0.0490792876936795,0,0
"1945","Atp1a2",2.163070501424,1.68750700792864,129.897703465521,120.48965597587,79.3436596446806,9.99083444187576,11
"1946","Atp1a1",12.7455396598061,4.39923164063273,0.390838256746438,0.460042392267601,1.32984260841525,1.08152306405954,7.88235294117647
"1947","0",0,0,0,0,0,0,0
"1948","Atp1b1",1.27193340469303,0.0450162662126422,0.0911560535912102,0.0675439290010237,0.53901708985387,0.0390997844519521,9.23529411764706
"1949","Atp1b1",1.27193340469303,0.0450162662126422,0.0911560535912102,0.0675439290010237,0.53901708985387,0.0390997844519521,9.23529411764706
"1950","Atp1b1",1.27193340469303,0.0450162662126422,0.0911560535912102,0.0675439290010237,0.53901708985387,0.0390997844519521,9.23529411764706
"1951","Atp1b1",1.27193340469303,0.0450162662126422,0.0911560535912102,0.0675439290010237,0.53901708985387,0.0390997844519521,9.23529411764706
"1952","Atp1b1",1.27193340469303,0.0450162662126422,0.0911560535912102,0.0675439290010237,0.53901708985387,0.0390997844519521,9.23529411764706
"1953","Htr2b",0,0,0,0,0,0,0
"1954","Kmt2b",0.115526254225458,0.205938651144416,0.146398548037414,0.107208258392111,0.0798840482731532,0.145473837752782,0
"1955","Gas6",1.19544759440767,3.03030572446017,0.50458768949936,0.540987530977044,0.993337554606448,1.17004394862853,7.41176470588235
"1956","Tnk2",1.12248856647867,0.476102509361435,1.18139724952318,0.884046072173901,0.814390096038114,0.452665770486373,0
"1957","0",0,0,0,0,0,0,0
"1958","0",0,0,0,0,0,0,0
"1959","Vav1",0,0,0.00350880014967321,0,0.0135816037168819,0,0
"1960","Bmp2",0.00155484274887095,0.447384305915928,0.00267495318887261,0,0,0.570590976477524,3.23529411764706
"1961","0",0,0,0,0,0,0,0
"1962","Bmp4",0.0222646316582628,0.190248975719589,0.0111298056767997,0.00681593655529224,0.0213246349662541,1.75068198917168,0
"1963","Calcoco2",0,0,0,0,0,0,3.29411764705882
"1964","Chrdl1",0.0156662179702155,0,0.0127923344809531,0.0203767776281016,0.0336169090829479,0.125093366336929,0
"1965","0",0,0,0,0,0,0,0
"1966","Havcr2",0,0,0.00140374634131568,0,0,0.012599954956591,0
"1967","0",0,0,0,0,0,0,0
"1968","0",0,0,0,0,0,0,0
"1969","Adrb2",0.0118024296280822,0.161739081589643,0.015361493459747,0.00779695104742147,0.00751878740599057,0.0473992901327778,0
"1970","Bud31",0.201711858805373,0.694595318334703,0.163115329398922,0.209679313149386,0.186143367093836,0.322026230638806,0
"1971","Ccr2",0.0528321915116204,0.0447654510492216,0.0535426409986401,0.0352084763042201,0.0199854320639481,0.0704803278451212,0
"1972","Ccr9",0.0554566704929571,0.0200475342999017,0.0336201325663885,0.0371411670744811,0.0183670090284352,0.0678822347260195,0
"1973","Chrm2",0.0133589038175091,0.151593215889854,0,0,0,0,0
"1974","Chrm4",0,0,0,0,0,0,2.76470588235294
"1975","Gnrhr",0,0,0,0,0,0,0
